cui,entrega,item,n,texto
0200817,2022,mesa 6 alumnos,44,mesa 6 alumnos 44
0200817,2022,mesa inicial,10,mesa inicial 10
0200817,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200817,2022,silla escolar,150,silla escolar 150
0200818,2021,banco largo comedor,4,banco largo comedor 4
0200818,2021,mesa 6 alumnos,2,mesa 6 alumnos 2
0200819,2022,mesa pupitre doble,36,mesa pupitre doble 36
0200819,2022,pizarrón,18,pizarrón 18
0200819,2022,silla escolar,73,silla escolar 73
0200819,2023,escritorio,5,escritorio 5
0200819,2023,mesa pupitre doble,25,mesa pupitre doble 25
0200819,2023,silla escolar,55,silla escolar 55
0200821,2022,banco largo comedor,52,banco largo comedor 52
0200821,2022,escritorio,3,escritorio 3
0200821,2022,mesa 6 alumnos,25,mesa 6 alumnos 25
0200821,2022,mesa pupitre doble,53,mesa pupitre doble 53
0200821,2022,silla escolar,114,silla escolar 114
0200822,2022,armario,2,armario 2
0200823,2022,mesa pupitre doble,30,mesa pupitre doble 30
0200823,2022,silla escolar,60,silla escolar 60
0200825,2021,armario,4,armario 4
0200825,2021,silla escolar,6,silla escolar 6
0200827,2022,escritorio,4,escritorio 4
0200827,2022,mesa pupitre doble,60,mesa pupitre doble 60
0200827,2022,pizarrón,4,pizarrón 4
0200827,2023,escritorio,4,escritorio 4
0200827,2023,mesa pupitre doble,60,mesa pupitre doble 60
0200827,2023,pizarrón,4,pizarrón 4
0200827,2023,silla escolar,124,silla escolar 124
0200828,2021,escritorio,2,escritorio 2
0200828,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200828,2021,silla escolar,62,silla escolar 62
0200828,2023,escritorio,3,escritorio 3
0200828,2023,mesa pupitre doble,45,mesa pupitre doble 45
0200828,2023,pizarrón,3,pizarrón 3
0200828,2023,silla escolar,93,silla escolar 93
0200829,2021,banco largo comedor,84,banco largo comedor 84
0200829,2021,escritorio,7,escritorio 7
0200829,2021,mesa pupitre doble,75,mesa pupitre doble 75
0200829,2021,pizarrón,3,pizarrón 3
0200829,2021,silla escolar,154,silla escolar 154
0200829,2022,escritorio,2,escritorio 2
0200829,2022,mesa pupitre doble,52,mesa pupitre doble 52
0200829,2022,pizarrón,2,pizarrón 2
0200829,2022,silla escolar,107,silla escolar 107
0200829,2023,escritorio,2,escritorio 2
0200829,2023,mesa pupitre doble,30,mesa pupitre doble 30
0200829,2023,pizarrón,2,pizarrón 2
0200829,2023,silla escolar,62,silla escolar 62
0200830,2021,armario,6,armario 6
0200830,2021,escritorio,4,escritorio 4
0200830,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200830,2021,pizarrón,9,pizarrón 9
0200830,2021,silla escolar,124,silla escolar 124
0200830,2022,escritorio,4,escritorio 4
0200830,2022,mesa pupitre doble,60,mesa pupitre doble 60
0200830,2022,pizarrón,3,pizarrón 3
0200830,2022,silla escolar,123,silla escolar 123
0200830,2023,escritorio,3,escritorio 3
0200830,2023,mesa pupitre doble,45,mesa pupitre doble 45
0200830,2023,pizarrón,3,pizarrón 3
0200830,2023,silla escolar,93,silla escolar 93
0200831,2021,escritorio,5,escritorio 5
0200831,2021,mesa pupitre doble,75,mesa pupitre doble 75
0200831,2021,pizarrón,5,pizarrón 5
0200831,2021,silla escolar,155,silla escolar 155
0200831,2022,escritorio,3,escritorio 3
0200831,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200831,2022,pizarrón,3,pizarrón 3
0200831,2022,silla escolar,93,silla escolar 93
0200831,2023,escritorio,2,escritorio 2
0200831,2023,mesa pupitre doble,30,mesa pupitre doble 30
0200831,2023,pizarrón,2,pizarrón 2
0200831,2023,silla escolar,62,silla escolar 62
0200832,2021,escritorio,4,escritorio 4
0200832,2021,mesa pupitre doble,50,mesa pupitre doble 50
0200832,2021,silla escolar,104,silla escolar 104
0200832,2022,escritorio,7,escritorio 7
0200832,2022,mesa pupitre doble,105,mesa pupitre doble 105
0200832,2022,pizarrón,7,pizarrón 7
0200832,2022,silla escolar,93,silla escolar 93
0200832,2023,escritorio,7,escritorio 7
0200832,2023,locker,20,locker 20
0200832,2023,mesa pupitre doble,105,mesa pupitre doble 105
0200832,2023,pizarrón,7,pizarrón 7
0200832,2023,silla escolar,217,silla escolar 217
0200833,2021,armario,30,armario 30
0200833,2021,escritorio,2,escritorio 2
0200833,2021,mesa inicial,5,mesa inicial 5
0200833,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200833,2021,silla escolar,98,silla escolar 98
0200834,2021,pizarrón,2,pizarrón 2
0200834,2021,silla escolar,20,silla escolar 20
0200839,2022,escritorio,3,escritorio 3
0200839,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200839,2022,pizarrón,3,pizarrón 3
0200839,2022,silla escolar,93,silla escolar 93
0200839,2023,escritorio,3,escritorio 3
0200839,2023,mesa pupitre doble,45,mesa pupitre doble 45
0200839,2023,pizarrón,3,pizarrón 3
0200839,2023,silla escolar,93,silla escolar 93
0200846,2021,banco largo comedor,14,banco largo comedor 14
0200846,2021,mesa 6 alumnos,7,mesa 6 alumnos 7
0200847,2021,banco largo comedor,10,banco largo comedor 10
0200847,2021,mesa 6 alumnos,5,mesa 6 alumnos 5
0200848,2022,pizarrón,14,pizarrón 14
0200849,2021,armario,7,armario 7
0200849,2021,escritorio,2,escritorio 2
0200849,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200849,2021,silla escolar,62,silla escolar 62
0200850,2022,armario,6,armario 6
0200850,2022,mesa pupitre doble,60,mesa pupitre doble 60
0200850,2022,pizarrón,9,pizarrón 9
0200850,2022,silla escolar,129,silla escolar 129
0200851,2021,escritorio,1,escritorio 1
0200851,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200851,2021,silla escolar,62,silla escolar 62
0200851,2022,armario,5,armario 5
0200851,2022,mesa inicial,4,mesa inicial 4
0200851,2022,pizarrón,4,pizarrón 4
0200851,2022,silla escolar,24,silla escolar 24
0200853,2021,pizarrón,10,pizarrón 10
0200853,2022,armario,4,armario 4
0200854,2021,escritorio,2,escritorio 2
0200854,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200854,2021,silla escolar,62,silla escolar 62
0200855,2021,escritorio,3,escritorio 3
0200855,2021,mesa inicial,5,mesa inicial 5
0200855,2021,mesa integradora con escotadura,1,mesa integradora con escotadura 1
0200855,2021,mesa pupitre doble,45,mesa pupitre doble 45
0200855,2021,pizarrón,20,pizarrón 20
0200855,2021,silla escolar,123,silla escolar 123
0200855,2022,armario,2,armario 2
0200856,2021,mesa inicial,28,mesa inicial 28
0200856,2021,silla escolar,168,silla escolar 168
0200857,2022,escritorio,3,escritorio 3
0200857,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200857,2022,silla escolar,93,silla escolar 93
0200860,2021,banco largo comedor,140,banco largo comedor 140
0200860,2021,mesa 6 alumnos,70,mesa 6 alumnos 70
0200860,2021,mesa inicial,10,mesa inicial 10
0200860,2021,mesa pupitre doble,50,mesa pupitre doble 50
0200860,2021,pizarrón,5,pizarrón 5
0200860,2021,silla escolar,160,silla escolar 160
0200860,2022,armario,4,armario 4
0200860,2022,escritorio,2,escritorio 2
0200860,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200860,2022,pizarrón,11,pizarrón 11
0200860,2022,silla escolar,90,silla escolar 90
0200862,2021,armario,14,armario 14
0200862,2021,escritorio,2,escritorio 2
0200862,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200862,2021,pizarrón,26,pizarrón 26
0200862,2021,silla escolar,62,silla escolar 62
0200863,2021,escritorio,3,escritorio 3
0200863,2021,mesa pupitre doble,45,mesa pupitre doble 45
0200863,2021,pizarrón,3,pizarrón 3
0200863,2021,silla escolar,93,silla escolar 93
0200863,2022,escritorio,3,escritorio 3
0200863,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200863,2022,pizarrón,3,pizarrón 3
0200863,2022,silla escolar,93,silla escolar 93
0200863,2023,escritorio,2,escritorio 2
0200863,2023,mesa pupitre doble,30,mesa pupitre doble 30
0200863,2023,pizarrón,2,pizarrón 2
0200863,2023,silla escolar,62,silla escolar 62
0200864,2021,banco largo comedor,70,banco largo comedor 70
0200864,2021,mesa 6 alumnos,35,mesa 6 alumnos 35
0200864,2021,mesa integradora con escotadura,1,mesa integradora con escotadura 1
0200864,2021,pizarrón,3,pizarrón 3
0200864,2022,pizarrón,15,pizarrón 15
0200864,2023,armario,4,armario 4
0200865,2021,armario,4,armario 4
0200865,2021,mesa inicial,5,mesa inicial 5
0200865,2022,silla escolar,30,silla escolar 30
0200868,2021,armario,5,armario 5
0200868,2021,mesa inicial,8,mesa inicial 8
0200868,2022,silla escolar,48,silla escolar 48
0200870,2021,escritorio,9,escritorio 9
0200870,2021,mesa pupitre doble,75,mesa pupitre doble 75
0200870,2021,pizarrón,5,pizarrón 5
0200870,2021,silla escolar,207,silla escolar 207
0200870,2022,escritorio,4,escritorio 4
0200870,2022,mesa pupitre doble,66,mesa pupitre doble 66
0200870,2022,pizarrón,4,pizarrón 4
0200870,2022,silla escolar,136,silla escolar 136
0200870,2023,escritorio,1,escritorio 1
0200870,2023,mesa pupitre doble,15,mesa pupitre doble 15
0200870,2023,pizarrón,1,pizarrón 1
0200870,2023,silla escolar,31,silla escolar 31
0200871,2021,escritorio,3,escritorio 3
0200871,2021,mesa inicial,14,mesa inicial 14
0200871,2021,mesa pupitre doble,52,mesa pupitre doble 52
0200871,2021,silla escolar,177,silla escolar 177
0200871,2022,escritorio,3,escritorio 3
0200871,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200871,2022,pizarrón,3,pizarrón 3
0200871,2022,silla escolar,93,silla escolar 93
0200871,2023,escritorio,2,escritorio 2
0200871,2023,mesa pupitre doble,30,mesa pupitre doble 30
0200871,2023,pizarrón,2,pizarrón 2
0200871,2023,silla escolar,62,silla escolar 62
0200872,2021,silla escolar,40,silla escolar 40
0200874,2021,escritorio,2,escritorio 2
0200874,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200874,2021,pizarrón,2,pizarrón 2
0200874,2021,silla escolar,62,silla escolar 62
0200874,2022,escritorio,2,escritorio 2
0200874,2022,mesa pupitre doble,33,mesa pupitre doble 33
0200874,2022,pizarrón,2,pizarrón 2
0200874,2022,silla escolar,68,silla escolar 68
0200874,2023,escritorio,2,escritorio 2
0200874,2023,mesa pupitre doble,30,mesa pupitre doble 30
0200874,2023,pizarrón,2,pizarrón 2
0200874,2023,silla escolar,62,silla escolar 62
0200885,2021,mesa trabajo estante,8,mesa trabajo estante 8
0200885,2021,varios,16,varios 16
0200886,2021,escritorio,4,escritorio 4
0200886,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200886,2021,pizarrón,4,pizarrón 4
0200886,2021,silla escolar,124,silla escolar 124
0200886,2022,escritorio,4,escritorio 4
0200886,2022,mesa pupitre doble,60,mesa pupitre doble 60
0200886,2022,pizarrón,4,pizarrón 4
0200886,2022,silla escolar,124,silla escolar 124
0200886,2023,escritorio,3,escritorio 3
0200886,2023,mesa pupitre doble,45,mesa pupitre doble 45
0200886,2023,pizarrón,3,pizarrón 3
0200886,2023,silla escolar,93,silla escolar 93
0200887,2021,armario,20,armario 20
0200887,2021,escritorio,2,escritorio 2
0200887,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200887,2021,pizarrón,2,pizarrón 2
0200887,2021,silla escolar,62,silla escolar 62
0200887,2022,escritorio,2,escritorio 2
0200887,2022,mesa pupitre doble,30,mesa pupitre doble 30
0200887,2022,pizarrón,2,pizarrón 2
0200887,2022,silla escolar,62,silla escolar 62
0200887,2023,escritorio,2,escritorio 2
0200887,2023,mesa pupitre doble,30,mesa pupitre doble 30
0200887,2023,pizarrón,2,pizarrón 2
0200887,2023,silla escolar,62,silla escolar 62
0200898,2021,armario,5,armario 5
0200898,2021,escritorio,2,escritorio 2
0200898,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200898,2021,pizarrón,2,pizarrón 2
0200898,2021,silla escolar,62,silla escolar 62
0200899,2021,armario,8,armario 8
0200899,2021,escritorio,7,escritorio 7
0200899,2021,mesa pupitre doble,186,mesa pupitre doble 186
0200899,2021,silla escolar,287,silla escolar 287
0200900,2021,pizarrón,2,pizarrón 2
0200902,2021,escritorio,2,escritorio 2
0200902,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200902,2021,silla escolar,62,silla escolar 62
0200903,2021,banco largo comedor,60,banco largo comedor 60
0200903,2021,mesa 6 alumnos,30,mesa 6 alumnos 30
0200903,2021,mesa pupitre doble,36,mesa pupitre doble 36
0200903,2021,pizarrón,12,pizarrón 12
0200903,2022,armario,44,armario 44
0200903,2022,banco largo comedor,17,banco largo comedor 17
0200903,2022,biblioteca,16,biblioteca 16
0200903,2022,escritorio,24,escritorio 24
0200903,2022,mesa 6 alumnos,14,mesa 6 alumnos 14
0200903,2022,mesa integradora con escotadura,4,mesa integradora con escotadura 4
0200903,2022,mesa pupitre doble,192,mesa pupitre doble 192
0200903,2022,pizarrón,43,pizarrón 43
0200903,2022,silla escolar,582,silla escolar 582
0200903,2022,varios,8,varios 8
0200905,2021,armario,4,armario 4
0200905,2021,escritorio,2,escritorio 2
0200905,2021,mesa inicial,9,mesa inicial 9
0200905,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200905,2021,pizarrón,10,pizarrón 10
0200905,2021,silla escolar,62,silla escolar 62
0200905,2022,silla escolar,54,silla escolar 54
0200907,2022,mesa inicial,6,mesa inicial 6
0200907,2022,silla escolar,24,silla escolar 24
0200908,2021,armario,9,armario 9
0200908,2021,escritorio,4,escritorio 4
0200908,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200908,2021,silla escolar,124,silla escolar 124
0200910,2022,armario,2,armario 2
0200910,2022,escritorio,8,escritorio 8
0200910,2022,mesa 6 alumnos,1,mesa 6 alumnos 1
0200910,2022,mesa inicial,4,mesa inicial 4
0200910,2022,mesa pupitre doble,69,mesa pupitre doble 69
0200910,2022,pizarrón,4,pizarrón 4
0200910,2022,silla escolar,178,silla escolar 178
0200913,2022,mesa inicial,10,mesa inicial 10
0200913,2022,mesa pupitre doble,30,mesa pupitre doble 30
0200913,2022,pizarrón,14,pizarrón 14
0200913,2022,silla escolar,120,silla escolar 120
0200914,2021,armario,2,armario 2
0200914,2021,escritorio,7,escritorio 7
0200914,2021,mesa pupitre doble,87,mesa pupitre doble 87
0200914,2021,silla escolar,289,silla escolar 289
0200916,2021,armario,4,armario 4
0200916,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200916,2021,silla escolar,73,silla escolar 73
0200917,2022,pizarrón,14,pizarrón 14
0200918,2021,escritorio,4,escritorio 4
0200918,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200918,2021,silla escolar,124,silla escolar 124
0200919,2023,banco largo comedor,20,banco largo comedor 20
0200919,2023,juego de patio,1,juego de patio 1
0200919,2023,piso antigolpe para juegos,60,piso antigolpe para juegos 60
0200920,2022,armario,5,armario 5
0200926,2023,varios,1,varios 1
0200927,2021,escritorio,3,escritorio 3
0200927,2021,mesa 6 alumnos,22,mesa 6 alumnos 22
0200927,2021,mesa pupitre doble,45,mesa pupitre doble 45
0200927,2021,pizarrón,3,pizarrón 3
0200927,2021,silla escolar,93,silla escolar 93
0200927,2022,escritorio,2,escritorio 2
0200927,2022,mesa inicial,22,mesa inicial 22
0200927,2022,mesa integradora con escotadura,7,mesa integradora con escotadura 7
0200927,2022,mesa pupitre doble,30,mesa pupitre doble 30
0200927,2022,pizarrón,24,pizarrón 24
0200927,2022,silla escolar,62,silla escolar 62
0200927,2023,escritorio,2,escritorio 2
0200927,2023,mesa pupitre doble,30,mesa pupitre doble 30
0200927,2023,pizarrón,2,pizarrón 2
0200927,2023,silla escolar,62,silla escolar 62
0200946,2021,banco largo comedor,116,banco largo comedor 116
0200946,2021,mesa 6 alumnos,58,mesa 6 alumnos 58
0200946,2021,mesa inicial,20,mesa inicial 20
0200946,2021,pizarrón,10,pizarrón 10
0200946,2021,silla escolar,120,silla escolar 120
0200949,2021,armario,4,armario 4
0200949,2021,escritorio,6,escritorio 6
0200949,2021,mesa inicial,4,mesa inicial 4
0200949,2021,mesa pupitre doble,95,mesa pupitre doble 95
0200949,2021,pizarrón,3,pizarrón 3
0200949,2021,silla escolar,216,silla escolar 216
0200949,2022,armario,2,armario 2
0200949,2022,escritorio,3,escritorio 3
0200949,2022,mesa pupitre doble,48,mesa pupitre doble 48
0200949,2022,pizarrón,3,pizarrón 3
0200949,2022,silla escolar,99,silla escolar 99
0200949,2023,escritorio,3,escritorio 3
0200949,2023,mesa pupitre doble,45,mesa pupitre doble 45
0200949,2023,pizarrón,3,pizarrón 3
0200949,2023,silla escolar,93,silla escolar 93
0200950,2021,armario,10,armario 10
0200951,2023,mesa pupitre doble,30,mesa pupitre doble 30
0200951,2023,pizarrón,4,pizarrón 4
0200951,2023,silla escolar,66,silla escolar 66
0200953,2022,armario,6,armario 6
0200953,2022,mesa pupitre doble,90,mesa pupitre doble 90
0200953,2022,silla escolar,181,silla escolar 181
0200954,2021,mesa pupitre doble,20,mesa pupitre doble 20
0200954,2021,silla escolar,40,silla escolar 40
0200954,2022,armario,8,armario 8
0200954,2022,escritorio,2,escritorio 2
0200954,2022,mesa inicial,2,mesa inicial 2
0200954,2022,mesa integradora con escotadura,1,mesa integradora con escotadura 1
0200954,2022,mesa pupitre doble,16,mesa pupitre doble 16
0200954,2022,pizarrón,2,pizarrón 2
0200954,2022,silla escolar,46,silla escolar 46
0200955,2021,pizarrón,3,pizarrón 3
0200956,2021,armario,7,armario 7
0200956,2021,mesa inicial,6,mesa inicial 6
0200956,2021,mesa pupitre doble,10,mesa pupitre doble 10
0200956,2021,pizarrón,16,pizarrón 16
0200956,2021,silla escolar,40,silla escolar 40
0200956,2022,armario,2,armario 2
0200957,2021,mesa inicial,20,mesa inicial 20
0200957,2021,pizarrón,3,pizarrón 3
0200957,2021,silla escolar,60,silla escolar 60
0200957,2022,mesa pupitre doble,94,mesa pupitre doble 94
0200957,2022,silla escolar,188,silla escolar 188
0200958,2021,escritorio,2,escritorio 2
0200958,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200958,2021,pizarrón,2,pizarrón 2
0200958,2021,silla escolar,62,silla escolar 62
0200958,2022,escritorio,2,escritorio 2
0200958,2022,mesa pupitre doble,18,mesa pupitre doble 18
0200958,2022,pizarrón,2,pizarrón 2
0200958,2022,silla escolar,38,silla escolar 38
0200960,2021,armario,15,armario 15
0200960,2021,escritorio,9,escritorio 9
0200960,2021,pizarrón,6,pizarrón 6
0200960,2021,silla escolar,3,silla escolar 3
0200960,2021,varios,10,varios 10
0200962,2022,escritorio,6,escritorio 6
0200962,2022,mesa pupitre doble,90,mesa pupitre doble 90
0200962,2022,pizarrón,6,pizarrón 6
0200962,2022,silla escolar,186,silla escolar 186
0200962,2023,escritorio,4,escritorio 4
0200962,2023,mesa pupitre doble,60,mesa pupitre doble 60
0200962,2023,pizarrón,4,pizarrón 4
0200962,2023,silla escolar,124,silla escolar 124
0200963,2022,mesa pupitre doble,90,mesa pupitre doble 90
0200963,2023,escritorio,6,escritorio 6
0200963,2023,mesa pupitre doble,90,mesa pupitre doble 90
0200963,2023,pizarrón,6,pizarrón 6
0200963,2023,silla escolar,186,silla escolar 186
0200964,2021,armario,16,armario 16
0200964,2021,banco largo comedor,25,banco largo comedor 25
0200964,2021,escritorio,6,escritorio 6
0200964,2021,mesa 6 alumnos,15,mesa 6 alumnos 15
0200964,2021,mesa pupitre doble,90,mesa pupitre doble 90
0200964,2021,pizarrón,4,pizarrón 4
0200964,2021,silla escolar,186,silla escolar 186
0200964,2021,varios,6,varios 6
0200964,2022,escritorio,4,escritorio 4
0200964,2022,locker,90,locker 90
0200964,2022,mesa pupitre doble,62,mesa pupitre doble 62
0200964,2022,pizarrón,3,pizarrón 3
0200964,2022,silla escolar,124,silla escolar 124
0200964,2023,escritorio,3,escritorio 3
0200964,2023,mesa pupitre doble,45,mesa pupitre doble 45
0200964,2023,pizarrón,3,pizarrón 3
0200964,2023,silla escolar,93,silla escolar 93
0200965,2022,escritorio,3,escritorio 3
0200965,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200965,2022,pizarrón,3,pizarrón 3
0200965,2022,silla escolar,93,silla escolar 93
0200965,2023,escritorio,3,escritorio 3
0200965,2023,mesa pupitre doble,45,mesa pupitre doble 45
0200965,2023,pizarrón,3,pizarrón 3
0200965,2023,silla escolar,93,silla escolar 93
0200966,2021,mesa trabajo estante,6,mesa trabajo estante 6
0200966,2021,varios,12,varios 12
0200966,2022,armario,1,armario 1
0200984,2021,mesa trabajo estante,2,mesa trabajo estante 2
0200984,2021,varios,4,varios 4
0200984,2022,banco largo comedor,12,banco largo comedor 12
0201163,2021,mesa trabajo estante,8,mesa trabajo estante 8
0201163,2021,varios,16,varios 16
0201244,2021,mesa trabajo estante,6,mesa trabajo estante 6
0201244,2021,varios,12,varios 12
0201616,2021,mesa trabajo estante,4,mesa trabajo estante 4
0201616,2021,varios,8,varios 8
0201825,2022,armario,4,armario 4
0201825,2022,biblioteca,2,biblioteca 2
0201825,2022,mesa inicial,6,mesa inicial 6
0201825,2022,pizarrón,1,pizarrón 1
0201825,2022,silla escolar,25,silla escolar 25
0201864,2022,escritorio,2,escritorio 2
0201864,2022,mesa pupitre doble,30,mesa pupitre doble 30
0201864,2022,pizarrón,2,pizarrón 2
0201864,2022,silla escolar,62,silla escolar 62
0201864,2023,escritorio,2,escritorio 2
0201864,2023,mesa pupitre doble,30,mesa pupitre doble 30
0201864,2023,pizarrón,2,pizarrón 2
0201864,2023,silla escolar,62,silla escolar 62
0201865,2021,escritorio,3,escritorio 3
0201865,2021,mesa pupitre doble,45,mesa pupitre doble 45
0201865,2021,pizarrón,3,pizarrón 3
0201865,2021,silla escolar,93,silla escolar 93
0201865,2022,escritorio,3,escritorio 3
0201865,2022,mesa pupitre doble,45,mesa pupitre doble 45
0201865,2022,pizarrón,3,pizarrón 3
0201865,2022,silla escolar,93,silla escolar 93
0201865,2023,escritorio,2,escritorio 2
0201865,2023,mesa pupitre doble,30,mesa pupitre doble 30
0201865,2023,pizarrón,2,pizarrón 2
0201865,2023,silla escolar,62,silla escolar 62
0202144,2022,armario,3,armario 3
0202145,2021,armario,5,armario 5
0202145,2021,mesa inicial,3,mesa inicial 3
0202145,2021,silla escolar,18,silla escolar 18
0202145,2022,mesa inicial,5,mesa inicial 5
0202145,2022,silla escolar,25,silla escolar 25
0202146,2022,mesa inicial,1,mesa inicial 1
0202146,2022,pizarrón,2,pizarrón 2
0202146,2022,silla escolar,16,silla escolar 16
0202167,2021,mesa 6 alumnos,6,mesa 6 alumnos 6
0202167,2021,mesa inicial,2,mesa inicial 2
0202167,2021,mesa trabajo estante,6,mesa trabajo estante 6
0202167,2021,varios,4,varios 4
0202167,2022,armario,11,armario 11
0202167,2022,mesa 6 alumnos,6,mesa 6 alumnos 6
0202167,2022,pizarrón,6,pizarrón 6
0202167,2022,silla escolar,12,silla escolar 12
0202178,2021,armario,4,armario 4
0202178,2021,banco largo comedor,64,banco largo comedor 64
0202178,2021,escritorio,7,escritorio 7
0202178,2021,mesa 6 alumnos,32,mesa 6 alumnos 32
0202178,2021,mesa inicial,5,mesa inicial 5
0202178,2021,mesa pupitre doble,105,mesa pupitre doble 105
0202178,2021,pizarrón,4,pizarrón 4
0202178,2021,silla escolar,247,silla escolar 247
0202178,2022,escritorio,3,escritorio 3
0202178,2022,mesa pupitre doble,45,mesa pupitre doble 45
0202178,2022,pizarrón,3,pizarrón 3
0202178,2022,silla escolar,93,silla escolar 93
0202178,2023,escritorio,1,escritorio 1
0202178,2023,mesa pupitre doble,15,mesa pupitre doble 15
0202178,2023,pizarrón,1,pizarrón 1
0202178,2023,silla escolar,31,silla escolar 31
0202179,2021,armario,4,armario 4
0202179,2021,mesa inicial,5,mesa inicial 5
0202179,2022,silla escolar,30,silla escolar 30
0202188,2021,escritorio,6,escritorio 6
0202188,2021,mesa pupitre doble,90,mesa pupitre doble 90
0202188,2021,pizarrón,6,pizarrón 6
0202188,2021,silla escolar,186,silla escolar 186
0202188,2021,varios,70,varios 70
0202188,2022,escritorio,6,escritorio 6
0202188,2022,mesa pupitre doble,90,mesa pupitre doble 90
0202188,2022,pizarrón,6,pizarrón 6
0202188,2022,silla escolar,186,silla escolar 186
0202188,2023,escritorio,2,escritorio 2
0202188,2023,locker,15,locker 15
0202188,2023,mesa pupitre doble,30,mesa pupitre doble 30
0202188,2023,pizarrón,2,pizarrón 2
0202188,2023,silla escolar,62,silla escolar 62
0202204,2021,escritorio,2,escritorio 2
0202204,2021,mesa pupitre doble,30,mesa pupitre doble 30
0202204,2021,pizarrón,2,pizarrón 2
0202204,2021,silla escolar,62,silla escolar 62
0202204,2022,escritorio,4,escritorio 4
0202204,2022,mesa pupitre doble,60,mesa pupitre doble 60
0202204,2022,pizarrón,4,pizarrón 4
0202204,2022,silla escolar,124,silla escolar 124
0202204,2023,locker,15,locker 15
0202240,2021,mesa trabajo estante,2,mesa trabajo estante 2
0202240,2021,varios,4,varios 4
0202278,2021,mesa trabajo estante,4,mesa trabajo estante 4
0202278,2021,varios,8,varios 8
0202309,2022,mesa pupitre doble,7,mesa pupitre doble 7
0202309,2022,pizarrón,1,pizarrón 1
0202309,2022,silla escolar,15,silla escolar 15
0202384,2022,armario,2,armario 2
0202385,2021,mesa inicial,5,mesa inicial 5
0202385,2022,silla escolar,15,silla escolar 15
0202389,2021,escritorio,4,escritorio 4
0202389,2021,mesa pupitre doble,60,mesa pupitre doble 60
0202389,2021,pizarrón,2,pizarrón 2
0202389,2021,silla escolar,124,silla escolar 124
0202394,2021,mesa trabajo estante,8,mesa trabajo estante 8
0202394,2021,varios,16,varios 16
0202430,2021,armario,3,armario 3
0202437,2023,piso antigolpe para juegos,80,piso antigolpe para juegos 80
0202450,2021,armario,20,armario 20
0202562,2021,mesa inicial,5,mesa inicial 5
0202562,2021,silla escolar,30,silla escolar 30
0202564,2021,escritorio,2,escritorio 2
0202564,2021,pizarrón,2,pizarrón 2
0202564,2021,silla escolar,62,silla escolar 62
0202564,2022,escritorio,2,escritorio 2
0202564,2022,mesa pupitre doble,30,mesa pupitre doble 30
0202564,2022,pizarrón,2,pizarrón 2
0202564,2022,silla escolar,62,silla escolar 62
0202564,2023,escritorio,2,escritorio 2
0202564,2023,mesa pupitre doble,30,mesa pupitre doble 30
0202564,2023,pizarrón,2,pizarrón 2
0202564,2023,silla escolar,62,silla escolar 62
0202569,2023,escritorio,6,escritorio 6
0202569,2023,mesa pupitre doble,90,mesa pupitre doble 90
0202569,2023,pizarrón,6,pizarrón 6
0202569,2023,silla escolar,186,silla escolar 186
0202579,2021,mesa trabajo estante,2,mesa trabajo estante 2
0202579,2021,varios,4,varios 4
0202583,2021,armario,9,armario 9
0202583,2021,escritorio,2,escritorio 2
0202583,2021,mesa pupitre doble,30,mesa pupitre doble 30
0202583,2021,silla escolar,62,silla escolar 62
0202584,2021,escritorio,3,escritorio 3
0202584,2021,mesa pupitre doble,45,mesa pupitre doble 45
0202584,2021,pizarrón,3,pizarrón 3
0202584,2021,silla escolar,93,silla escolar 93
0202584,2022,escritorio,3,escritorio 3
0202584,2022,mesa 6 alumnos,3,mesa 6 alumnos 3
0202584,2022,mesa pupitre doble,45,mesa pupitre doble 45
0202584,2022,pizarrón,3,pizarrón 3
0202584,2022,silla escolar,93,silla escolar 93
0202584,2023,banco largo comedor,38,banco largo comedor 38
0202584,2023,escritorio,2,escritorio 2
0202584,2023,mesa 6 alumnos,19,mesa 6 alumnos 19
0202584,2023,mesa pupitre doble,30,mesa pupitre doble 30
0202584,2023,pizarrón,2,pizarrón 2
