cui,ano,prestaciones,descripcion_obra
0200001,2018,Albañileria / Pintura,"Pintura total del comedor, CAMBIO DE SOLADO EN AULAS"
0200001,2018,Carpinterías,"Puesta en valor de carpinterias, Carpinterías-Entrada a Patio, Coloc protecciones metalicas, Puesta en valor-Carpinterías 1er Piso, Cambio de vidrios en aula jardin, Realizacion de alero en techo vivienda"
0200001,2018,Electricidad,"Solicitud de nuevo timbre y campana, Correccion de factor de potencia"
0200001,2018,Gas,Reparar escape en cañerías
0200001,2018,Incendio,"Presup. Instalacion contra incendio, Mantenimiento de hidrantes"
0200001,2018,Medios de elevación,REPARACIÓN DE ASCENSORES
0200001,2018,Sanitarias,remodelacion baño jardin
0200001,2019,Albañileria / Pintura,PUESTA EN VALOR DE PATIO
0200001,2019,Gas,Puesta a punto de Inst de Gas
0200001,2019,Sanitarias,"Colocación de bebederos, Reparar boxes en Bº alumnos, Realizar guardaganado en entrada, Adecuacion y remodelacion Bº docentes PB"
0200001,2020,Albañileria / Pintura,Cambio de piso ceramico en baño V 2°P
0200001,2020,Electricidad,Colocacion de ventilador en comedor
0200001,2020,Gas,Reparar/reemplazo de artefactos de gas
0200001,2021,Albañileria / Pintura,Cambio de solados vinilicos
0200001,2021,Sanitarias,sanitarios de comedor niños y adultos
0200001,2022,Gas,Cambio de termotanque casa casera
0200001,2022,Sanitarias,"Bajada de caño pluvial, Cambio de tapa en tanque de bombeo"
0200001,2023,Sanitarias,Cambio de 2 inodoros
0200002,2018,Albañileria / Pintura,Reparaciones en casa de casera----
0200002,2018,Carpinterías,Provision y colocacion de pasamanos
0200002,2019,Cubiertas / Impermeabilizaciones,Impermeabilizacion (Etapa 1)
0200002,2020,Electricidad,"Prov, coloc termotanque electr-Casera"
0200002,2021,Albañileria / Pintura,"Recambio de solados en patio Jardín, Apertura de la puerta de Quintana, Apuntalamiento"
0200002,2021,Electricidad,Reemplazo de Ventiladores de Pared
0200002,2021,Sanitarias,"Limpieza y desinfección tanque cisterna, Recambio de tapa de inspección"
0200002,2022,Albañileria / Pintura,Recambio de tramo de conducto pluvial
0200002,2022,Electricidad,Remplazo de ventiladores
0200002,2022,Sanitarias,Reposición de Bidet vandalizado
0200003,2018,Albañileria / Pintura,Recambio de solado - Sala Plástica
0200003,2018,Sanitarias,Nueva descarga cloacal de cocina
0200003,2019,Albañileria / Pintura,"Reparar paredes de frente y galeria 1ºp, Revestim. parametros int-Pizarrones"
0200003,2020,Sanitarias,Reemplazo termotanque-Sala plastica
0200003,2021,Electricidad,Prov y coloc 7 ventiladores
0200003,2022,Gas,Adecuación de la Instalación de Gas
0200003,2022,Sanitarias,Cambio de griferia en baño discapacitado
0200004,2018,Albañileria / Pintura,"Pulido y plastificado de cuatro aulas, Cotizar cambio de cielorraso suspendido, Pintura integral de circulaciones"
0200004,2018,Cubiertas / Impermeabilizaciones,Aislacion hidrofuga azotea
0200004,2018,Otros Servicios,Mesada cocina
0200004,2020,Gas,Reemplazar termotanque casera
0200004,2021,Electricidad,Inst equipo purificador en aula
0200005,2018,Calefaccion y Refrigeracion,"Adecuacion venti. de caldera, Recambio de bomba en sist. de calefac."
0200005,2018,Carpinterías,solicita cotizar recambio de carpinteria
0200005,2018,Cubiertas / Impermeabilizaciones,Impermeabilizacion terrazas en edificio
0200005,2018,Electricidad,Provisión y recambio de luminarias LED
0200005,2018,Sanitarias,Recambio de embudos e impermeab.
0200005,2019,Albañileria / Pintura,Pintura carpinterias-Rejas-Terraza-Patio
0200005,2019,Cubiertas / Impermeabilizaciones,Realizar adecuaciones edilicias
0200005,2020,Calefaccion y Refrigeracion,Adecuaciones sistema de calefaccion
0200005,2021,Sanitarias,Cambio de dos inodoros
0200006,2018,Albañileria / Pintura,"PINTURA INTEGRAL CIRCULACIONES ET. 2, PINTURA INTEGRAL CIRCULACIONES ET. 1, PUESTA EN VALOR NUCLEOS SANITARIOS"
0200006,2018,Calefaccion y Refrigeracion,Reparacion sistemas de calefaccion
0200006,2018,Carpinterías,RECAMBIO DE VIDRIOS EN LUCARNA
0200006,2019,Carpinterías,Solicitud de 30 candados y cerrojos
0200006,2019,Sanitarias,Adecuacion sist de calefaccion y desague
0200006,2020,Sanitarias,Reemplazo tapa de inspección de tanque
0200006,2022,Sanitarias,Adecuaciones sector patio-cocina
0200007,2018,Calefaccion y Refrigeracion,Reparar caldera
0200007,2018,Sanitarias,bombas de agua
0200007,2019,Albañileria / Pintura,"Reacondicionar rampa de acceso, Realizar desengrasadora"
0200007,2020,Albañileria / Pintura,Emplacar 5 aulas
0200007,2020,Carpinterías,Colocacion  de rejas en ventana
0200007,2020,Sanitarias,Reemplazo de termotanque de cocina
0200007,2021,Albañileria / Pintura,"Provision y colocacion parrilla movil, Colocar placas en carpinterías 1erPiso"
0200007,2022,Electricidad,"Colocar ventiladores en aulas, Reemplazo de Termotanques"
0200007,2022,Sanitarias,Prov. Coloc. 1 Inodoro vandalizado
0200008,2018,Albañileria / Pintura,"Cornisa-Impermeab y pintura de comedor, Pintura hall y pasillo"
0200008,2018,Calefaccion y Refrigeracion,Reparar caldera
0200008,2020,Calefaccion y Refrigeracion,Reparar cañerias de caloventiladores
0200008,2020,Carpinterías,"Rejas en el frente, ventanas"
0200008,2021,Albañileria / Pintura,Arreglo columnas en comedor y techo
0200008,2021,Carpinterías,Prov y coloc. Manijones
0200008,2022,Albañileria / Pintura,"Pintura Integral de Supervisión, Circula"
0200008,2022,Sanitarias,Reposicion y coloc. de inodoro vandaliza
0200009,2018,Cubiertas / Impermeabilizaciones,Cambio techo en patio
0200009,2018,Sanitarias,Presupuesto cambio tanques
0200009,2020,Albañileria / Pintura,Coloc placas cielorraso y pared-Rejillas
0200009,2021,Calefaccion y Refrigeracion,Colocar purificadores en 2 aulas
0200009,2021,Cubiertas / Impermeabilizaciones,Impermeabilizacion de azotea comedor
0200009,2021,Medios de elevación,Adecuar a norma montacarga
