cui,establecimiento,domicilio
<a href='https://jpcib.github.io/sistemaBochi/pages/0200022.html'>0200022</a>,ESPACIO PRIMERA INFANCIA COLEGIO N° 02 - COLEGIO N° 02 DOMINGO FAUSTINO SARMIENTO - CAIYJ CLUB CENTRO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200022.html'>LIBERTAD 1257</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200023.html'>0200023</a>,"Sup Media Region I - Sup.Educ.Tec.Region I DE 01,03 - ESC. DE COM. Nº 02 DR. ANTONIO BERMEJO",<a href='https://jpcib.github.io/sistemaBochi/pages/0200023.html'>AVDA. CALLAO 628</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200024.html'>0200024</a>,ESC. TEC.  N° 12 LIB. GRAL. JOSE DE SAN MARTIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200024.html'>AVDA. DEL LIBERTADOR 238</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200025.html'>0200025</a>,ESC. TEC. N° 19 ALEJANDRO VOLTA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200025.html'>LAVALLE 1681</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200026.html'>0200026</a>,ISFA [A 3] - ESC. SUPERIOR DE EDUCACIÓN ARTÍSTICA EN DANZA AÍDA VICTORIA MASTRAZZI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200026.html'>ESMERALDA 285</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200027.html'>0200027</a>,IFTS N° 14 - CBF OCUPACIONAL N° 04 PAULO FREIRE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200027.html'>JUNCAL 1258</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200028.html'>0200028</a>,ESC. DE COM. N° 26 ENRIQUE DE VEDIA - ENS LENGUAS VIVAS SOFIA DE SPANGENBERG - ESCUELA DE MAESTROS ([A] 04),<a href='https://jpcib.github.io/sistemaBochi/pages/0200028.html'>JUNCAL 3251</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200029.html'>0200029</a>,ENS N° 01 LENGUAS VIVAS PRES. R. S. PEÑA - LICEO N° 04 R. DE ESCALADA DE SAN MARTIN - ESEA  DANZA RAMICONE  FOLKLORE N° 21 - ESC. DE COM. N° 10 ISLAS MALVINAS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200029.html'>AVDA. CORDOBA 1951</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200030.html'>0200030</a>,ENS N° 09 DOMINGO FAUSTINO SARMIENTO - LICEO N° 07 DOMINGO FAUSTINO SARMIENTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200030.html'>AVDA. CALLAO 450</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200031.html'>0200031</a>,INST. DE EDUCACIÓN SUPERIOR N° 01 DRA. ALICIA MOREAU DE JUSTO - CENS N° 13,<a href='https://jpcib.github.io/sistemaBochi/pages/0200031.html'>AVDA. CORDOBA 2016</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200032.html'>0200032</a>,INST. DE ENSEÑANZA SUPERIOR EN LENGUAS VIVAS JUAN RAMÓN FERNÁNDEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200032.html'>CARLOS PELLEGRINI 1515</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200033.html'>0200033</a>,ESC. INTEGRAL INTERDISCIPLINARIA Nª 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200033.html'>AYACUCHO 953</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200042.html'>0200042</a>,CENS N° 63,<a href='https://jpcib.github.io/sistemaBochi/pages/0200042.html'>MARCELO T. DE ALVEAR 1840</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200057.html'>0200057</a>,JM N° 06/01°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200057.html'>PARAGUAY 1657</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200063.html'>0200063</a>,ESCUELA INF. N° 08/01°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200063.html'>AVDA. LAS HERAS 2670</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200076.html'>0200076</a>,EPC N° 02 JUAN LARREA - ESC. DE MUSICA N° 10,<a href='https://jpcib.github.io/sistemaBochi/pages/0200076.html'>LAPRIDA 1235</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200077.html'>0200077</a>,EPC N° 03 MANUEL SOLA - JIN C (EPCJS 03/02°) - CENOF CENTRO LAMBARE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200077.html'>LAMBARE 975</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200078.html'>0200078</a>,JIN A (EPCJS 04/02°) - EPC N° 04 AMADEO JACQUES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200078.html'>SOLER 3929</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200079.html'>0200079</a>,EPC N° 06 GRAL. MARTIN RODRIGUEZ - CENOF CENTRO ANCHORENA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200079.html'>DR. TOMAS MANUEL DE ANCHORENA 441</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200080.html'>0200080</a>,EPC N° 07 DEL CENTENARIO - JIN C (EPCJC 07/02°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200080.html'>RIO DE JANEIRO 986</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200081.html'>0200081</a>,EPC N° 08 DR. ARTURO MATEO BAS - JIN B (EPCJS 08/02°) JARDIN DEL ABASTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200081.html'>TUCUMAN 3233</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200082.html'>0200082</a>,CENS N° 40 - EPC N° 09 CNEL. GENARO BERON DE ASTRADA - JIN A (EPCJS 09/02°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200082.html'>EL SALVADOR 4037</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200083.html'>0200083</a>,JIC N° 01/02° - EPC N° 10 GREGORIA PEREZ - EPA N° 10 GREGORIA PEREZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200083.html'>ARENALES 2733</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200084.html'>0200084</a>,EPC N° 11 PROVINCIA DE JUJUY - JIN C (EPCJC 11/02°) - CENS N° 29,<a href='https://jpcib.github.io/sistemaBochi/pages/0200084.html'>OBRERO ROBERTO NUÑEZ 4355</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200085.html'>0200085</a>,Sup Inicial III B - JII N° 04/02º,<a href='https://jpcib.github.io/sistemaBochi/pages/0200085.html'>JOSE ANTONIO CABRERA 3430</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200086.html'>0200086</a>,Supervisión de Nivel Primaria DE 02 - EPC N° 14 JUAN MARTIN DE PUEYRREDON - EPA N° 14 JUAN MARTIN DE PUEYRREDON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200086.html'>AVDA. PUEYRREDON 630</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200087.html'>0200087</a>,EPC N° 16 PRESIDENTE MITRE - EPA N° 16 PRESIDENTE MITRE - ESCUELA INF. N° 05/02°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200087.html'>SARMIENTO 2832</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200088.html'>0200088</a>,EPC N° 17 PRESIDENTE URIBURU - JIN C (EPCJC 17/02°) [S] - CENOF CENTRO ANGEL GALLARDO - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 02,<a href='https://jpcib.github.io/sistemaBochi/pages/0200088.html'>AVDA. ANGEL GALLARDO 246</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200089.html'>0200089</a>,EPC N° 18 ALEJANDRO CARBO - JIN D (EPCJC 18/02°) - EEM N° 01/02° E.REINGRESO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200089.html'>MARIO BRAVO 234</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200090.html'>0200090</a>,EPA N° 19 FLORENCIO BALCARCE - JIN D (EPCJC 19/02°) - EPC N° 19 FLORENCIO BALCARCE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200090.html'>FRANCISCO ACUÑA DE FIGUEROA 850</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200091.html'>0200091</a>,EPC N° 20 ROSARIO VERA PEÑALOZA - JIN D (EPCJS 20/02°) [S] - CENOF CENTRO PRINGLES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200091.html'>PRINGLES 1165</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200092.html'>0200092</a>,EPC N° 22 CARLOS JAVIER BENIELLI - JIN D (EPCJS 22/02°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200092.html'>SANCHEZ DE BUSTAMANTE 260</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200093.html'>0200093</a>,CENS N° 01 - EPC N° 23 TOMAS MANUEL DE ANCHORENA - ESEA  DANZA RAMICONE  FOLKLORE N° 02,<a href='https://jpcib.github.io/sistemaBochi/pages/0200093.html'>DR. TOMAS MANUEL DE ANCHORENA 855</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200094.html'>0200094</a>,JIN B (EPCJS 24/02°) JARDIN DEL ABASTO - CENS N° 16 - EPC N° 24 PROVINCIA DE CATAMARCA - ESEA  DANZA MASTRAZZI  DNZA  JUVIL N° 07,<a href='https://jpcib.github.io/sistemaBochi/pages/0200094.html'>JEAN JAURES 870</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200095.html'>0200095</a>,EPA N° 13 REPUBLICA ISLAMICA DE IRAN - EPC N° 13 REPUBLICA ISLAMICA DE IRAN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200095.html'>JOSE ANTONIO CABRERA 3484</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200096.html'>0200096</a>,INST. DE TIEMPO LIBRE Y RECREACION - LICEO N° 01 JOSE FIGUEROA ALCORTA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200096.html'>AVDA. SANTA FE 2778</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200097.html'>0200097</a>,Sup Media Region III - COLEGIO N° 03 MARIANO MORENO - IFTS N° 28,<a href='https://jpcib.github.io/sistemaBochi/pages/0200097.html'>AVDA. RIVADAVIA 3577</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200098.html'>0200098</a>,COLEGIO N° 06 MANUEL BELGRANO - COLEGIO N° 15 REVOLUCION DE MAYO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200098.html'>ECUADOR 1158</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200099.html'>0200099</a>,COLEGIO N° 05 BARTOLOME MITRE - COLEGIO N° 14 JUAN JOSE PASO - PI LUCIERNAGAS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200099.html'>VALENTIN GOMEZ 3163</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200100.html'>0200100</a>,Polideportivo ESC. TEC. N° 30 DR. NORBERTO PIÑERO - ESC. TEC. N° 30 DR. NORBERTO PIÑERO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200100.html'>JERONIMO SALGUERO 920</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200101.html'>0200101</a>,ENS N° 06 VICENTE LOPEZ Y PLANES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200101.html'>GUEMES 3859</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200102.html'>0200102</a>,ESPACIO PRIMERA INFANCIA ESC. DE COM. N° 25 - ENS N° 07 JOSE MARIA TORRES - ESC. DE COM. N° 08 PATRICIAS ARGENTINAS - ESC. DE COM. N° 25 SANTIAGO DE LINIERS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200102.html'>AVDA. CORRIENTES 4261</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200103.html'>0200103</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 02,<a href='https://jpcib.github.io/sistemaBochi/pages/0200103.html'>JOSE ANTONIO CABRERA 4078</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200104.html'>0200104</a>,ESCUELA INF. N° 02/02° PAMPITA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200104.html'>GUARDIA VIEJA 3950</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200105.html'>0200105</a>,CENTRO DE ACTIVIDADES INFANTILES Y JUVENILES CLUB ALMAGRO - Polideportivo - Anexo Normal Nº07,<a href='https://jpcib.github.io/sistemaBochi/pages/0200105.html'>SARMIENTO 4041</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200106.html'>0200106</a>,ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 10 - ESC. SUPERIOR DE EDUCACIÓN ARTÍSTICA EN ARTE CERÁMICO N° 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200106.html'>BULNES 45</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200107.html'>0200107</a>,CENS N° 20 - ESCUELA DE LA JOYA MAESTRO JOYERO SERGIO LUKEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200107.html'>LEZICA 3955</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200110.html'>0200110</a>,CFP N°29,<a href='https://jpcib.github.io/sistemaBochi/pages/0200110.html'>AVDA. DÍAZ VELEZ 4093</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200113.html'>0200113</a>,JM N° 03/02°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200113.html'>GALLO 1340</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200120.html'>0200120</a>,EPC N° 05 URSULA LLAMES DE LAPUENTE - IFTS N° 18 - CEC IDIOMAS EXTRANJEROS N° 02,<a href='https://jpcib.github.io/sistemaBochi/pages/0200120.html'>GRAL. LUCIO NORBERTO MANSILLA 3643</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200123.html'>0200123</a>,ESCUELA INF. N° 02/03° MANE BERNARDO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200123.html'>CHILE 1626</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200124.html'>0200124</a>,JIN D (EPCJC 03/03°) - CENS N° 12 - EPC N° 03 MARIA SANCHEZ DE THOMPSON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200124.html'>TACUARI 567</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200125.html'>0200125</a>,EPC N° 04 CNEL. ISIDORO SUAREZ - IFTS N° 09 - CENS N° 43 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 08 - JIN D (EPCJS 04/03°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200125.html'>REPÚBLICA BOLIVARIANA DE VENEZUELA 771</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200126.html'>0200126</a>,Sup Inicial I C - EPC N° 05 AGUSTIN ALVAREZ - JII N° 01/03° - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 13,<a href='https://jpcib.github.io/sistemaBochi/pages/0200126.html'>HUMBERTO 1° 1573</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200127.html'>0200127</a>,EPC N° 07 GRAL. GÜEMES - CENS N° 54,<a href='https://jpcib.github.io/sistemaBochi/pages/0200127.html'>CARLOS CALVO 1140</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200128.html'>0200128</a>,JIN B (EPCJS 09/03°) - EPC N° 09 MARIANO MORENO - EPA N° 09 MARIANO MORENO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200128.html'>MORENO 2104</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200129.html'>0200129</a>,EPC N° 11 DR. RICARDO GUTIERREZ - CEC IDIOMAS EXTRANJEROS N° 03,<a href='https://jpcib.github.io/sistemaBochi/pages/0200129.html'>PTE. LUIS SAENZ PEÑA 1215</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200130.html'>0200130</a>,EPC N° 14 GRAL. MARIANO NECOCHEA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200130.html'>PTE. LUIS SAENZ PEÑA 463</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200131.html'>0200131</a>,EPC N° 15 FRANCISCO NARCISO DE LAPRIDA - JIN B (EPCJS 15/03°) - CENS N° 50,<a href='https://jpcib.github.io/sistemaBochi/pages/0200131.html'>MEXICO 2383</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200132.html'>0200132</a>,EPA N° 16 EUSTAQUIO CARDENAS - EPC N° 16 EUSTAQUIO CARDENAS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200132.html'>SALTA 1226</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200133.html'>0200133</a>,EPA N° 22 CARLOS PELLEGRINI - JIN A (EPCJS 22/03°) - EPC N° 22 CARLOS PELLEGRINI - CENS N° 44 - JIN A (EPCJC 21/03°) - EPC N° 21 CARLOS PELLEGRINI - Sup Primaria DE03 A - Centro de Terminalidad a Distancia[sede] - Sup Adultos Region I A - Bib.del Docente Dist.3 Carlos Pellegrini,<a href='https://jpcib.github.io/sistemaBochi/pages/0200133.html'>AVDA. ENTRE RIOS 1359</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200135.html'>0200135</a>,JIN B (EPCJC 23/03°) [S] - CENS N° 37 SEDE - EPC N° 23 GRAL. VIAMONTE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200135.html'>PASCO 961</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200136.html'>0200136</a>,CENS N° 59 - EPC N° 25 GERVASIO POSADAS - EPA N° 25 GERVASIO POSADAS - JIN A (EPCJC 25/03°) [S] - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 05,<a href='https://jpcib.github.io/sistemaBochi/pages/0200136.html'>AVDA. SAN JUAN 2277</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200137.html'>0200137</a>,PI LUCECITAS - CENS N° 18 - COLEGIO N° 01 BERNARDINO RIVADAVIA - ESC. DE COM. N° 36 ISAAC HALPERIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200137.html'>AVDA. SAN JUAN 1545</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200138.html'>0200138</a>,COLEGIO N° 07 JUAN MARTIN DE PUEYRREDON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200138.html'>CHACABUCO 922</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200139.html'>0200139</a>,Sup Adultos Region II B - Sup Adultos Region IV B - ESC. DE COM. N° 05 JOSE DE SAN MARTIN - CENS N° 04 - IFTS N° 10 - CENS N° 27 - IFTS N° 24 - EEM N° 01/03° E.REINGRESO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200139.html'>AVDA. ENTRE RIOS 757</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200140.html'>0200140</a>,CENS N° 34 - ESC. DE COM.  N° 34 MONSEÑOR MIGUEL DE ANDREA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200140.html'>MORENO 2135</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200141.html'>0200141</a>,ESC. PARA NIÑOS Y NIÑAS CON DISCAPACIDAD MENTAL N° 14 CONSTANCIO C. VIGIL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200141.html'>AVDA. INDEPENDENCIA 668</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200142.html'>0200142</a>,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y DE FORMACIÓN INTEGRAL N° 22 P B PALACIOS ALMAFUERTE - CENOF CENTRO INTEGRADOR ALMAFUERTE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200142.html'>AVDA. SAN JUAN 2128</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200143.html'>0200143</a>,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD VISUAL Y FORMACIÓN INTEGRAL N° 37 FRANCISCO GATTI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200143.html'>AVDA. INDEPENDENCIA 672</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200144.html'>0200144</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 03,<a href='https://jpcib.github.io/sistemaBochi/pages/0200144.html'>PIEDRAS 1430</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200145.html'>0200145</a>,EPC N° 13 PROV. SANTIAGO DEL ESTERO - CENS N° 42,<a href='https://jpcib.github.io/sistemaBochi/pages/0200145.html'>CHILE 1371</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200146.html'>0200146</a>,JII N° 04/03° EL JARDIN DEL MANZANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200146.html'>MEXICO 1627</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200147.html'>0200147</a>,EPJs 2 - Polideportivo - EPC N° 02 FRAY CAYETANO RODRIGUEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200147.html'>CHILE 1670</a>
