cui,establecimiento,domicilio
<a href='https://jpcib.github.io/sistemaBochi/pages/0200318.html'>0200318</a>,LICEO N° 10 RICARDO ROJAS - BOA N° 04 XUL SOLAR,<a href='https://jpcib.github.io/sistemaBochi/pages/0200318.html'>AVDA. JUJUY 150</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200319.html'>0200319</a>,ESC. TEC. N° 11 MANUEL BELGRANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200319.html'>COCHABAMBA 2830</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200320.html'>0200320</a>,ESC. TEC.  N°25 TTE.1° DE ARTILLERIA F.L.BELTRAN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200320.html'>AVDA. JUJUY 780</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200322.html'>0200322</a>,ESC. TEC. N° 26 CONFEDERACION SUIZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200322.html'>AVDA. JUJUY 255</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200323.html'>0200323</a>,ESC. TEC. N° 29 RECONQUISTA DE BUENOS AIRES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200323.html'>AVDA. BOEDO 760</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200324.html'>0200324</a>,ENS N°02 EN LENGUAS VIVAS MARIANO ACOSTA - IES MARIANO ACOSTA - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 06,<a href='https://jpcib.github.io/sistemaBochi/pages/0200324.html'>GRAL. URQUIZA 277</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200325.html'>0200325</a>,ENS N° 08 PRESIDENTE J.A. ROCA (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200325.html'>LA RIOJA 1042</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200326.html'>0200326</a>,ENS N° 08 PRESIDENTE J.A. ROCA ([A]),<a href='https://jpcib.github.io/sistemaBochi/pages/0200326.html'>CARLOS CALVO 3150</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200327.html'>0200327</a>,ENS N° 11 DR. RICARDO LEVENE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200327.html'>DEAN FUNES 1821</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200328.html'>0200328</a>,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 09 DR L R MAC KAY",<a href='https://jpcib.github.io/sistemaBochi/pages/0200328.html'>CARLOS CALVO 3176</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200329.html'>0200329</a>,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 36 DR. AURELIO MARTÍNEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200329.html'>GRAL. URQUIZA 2159</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200330.html'>0200330</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 06,<a href='https://jpcib.github.io/sistemaBochi/pages/0200330.html'>INCLAN 3146</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200331.html'>0200331</a>,CFP N°8 SMATA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200331.html'>MAZA 851</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200332.html'>0200332</a>,CENOF Venezuela,<a href='https://jpcib.github.io/sistemaBochi/pages/0200332.html'>REPÚBLICA BOLIVARIANA DE VENEZUELA 3259</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200333.html'>0200333</a>,CAIYJ CLUB SAN CRISTOBAL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200333.html'>DEAN FUNES 1360</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200334.html'>0200334</a>,EPC N° 15 MAESTRO JORGE LUIS CHINETTI - IFTS N° 26,<a href='https://jpcib.github.io/sistemaBochi/pages/0200334.html'>ESTADOS UNIDOS 3141</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200335.html'>0200335</a>,JM N° 07/06° DELFINA MARULL DE SARDA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200335.html'>CATULO CASTILLO 2852</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200342.html'>0200342</a>,Sup Educ Adulto y Adolesc  Sector I - Sup Educ Adulto y Adolesc  Sector III - CENS N° 06 - CENS N° 31,<a href='https://jpcib.github.io/sistemaBochi/pages/0200342.html'>SAAVEDRA 15</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200343.html'>0200343</a>,JIC Nº12 DE 06 - EPC N° 08 ALMAFUERTE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200343.html'>MAZA 1913</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200344.html'>0200344</a>,EPC N° 23 PROVINCIA DE ENTRE RIOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200344.html'>AVDA. BOEDO 1935</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200345.html'>0200345</a>,Sup Primaria DE06 A Sup Adultos Region II A,<a href='https://jpcib.github.io/sistemaBochi/pages/0200345.html'>HUMBERTO 1° 3187</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200353.html'>0200353</a>,EPA N° 01 T. DE LA QUINTANA DE ESCALADA - JIN A (EPCJC 01/07°) [S] - EPC N° 01 T. DE LA QUINTANA DE ESCALADA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200353.html'>AVDA. CORRIENTES 5332</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200354.html'>0200354</a>,EPC N° 02 FRANCISCO DESIDERIO HERRERA - CONSERVATORIO SUPERIOR DE MÚSICA MANUEL DE FALLA - ANEXO 4 - JIN A (EPCJS 02/07°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200354.html'>CAMARGO 725</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200356.html'>0200356</a>,EPA N° 04 PRES. DR. ARTURO UMBERTO ILLIA - EPC N° 04 PRES. DR. ARTURO UMBERTO ILLIA - JIC N° 03/07° LA PORTEÑA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200356.html'>AVDA. RIVADAVIA 6065</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200357.html'>0200357</a>,EPC N° 05 JUAN B. PEÑA - JIN C (EPCJC 05/07°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200357.html'>MANUEL RICARDO TRELLES 948</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200358.html'>0200358</a>,EPC N° 06 DELFIN JIJENA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200358.html'>OLAYA 1565</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200359.html'>0200359</a>,EPC N° 08 PROVINCIA DE SAN JUAN - JIC N° 04/07° - ESC. DE MUSICA N° 11,<a href='https://jpcib.github.io/sistemaBochi/pages/0200359.html'>CNEL. APOLINARIO FIGUEROA 1077</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200360.html'>0200360</a>,JIN C (EPCJC 09/07°) - EPC N° 09 JAPON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200360.html'>SANCHEZ 1858</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200361.html'>0200361</a>,JIN D (EPCJC 11/07°) - EPC N° 11 JOSE IGNACIO GORRITI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200361.html'>NICASIO OROÑO 1431</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200362.html'>0200362</a>,EPC N° 12 FACUNDO ZUVIRIA - JIN C (EPCJC 12/07°) [S] - CECIE N° 07,<a href='https://jpcib.github.io/sistemaBochi/pages/0200362.html'>FRANKLIN 1836</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200363.html'>0200363</a>,EPC N° 13 LEOPOLDO MARECHAL - JIN C (EPCJS 13/07°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200363.html'>GALICIA 1857</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200364.html'>0200364</a>,EPC N° 14 DR. ERNESTO E. PADILLA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200364.html'>FELIPE VALLESE 835</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200365.html'>0200365</a>,EPC N° 15 GRAL. JOSE GERVASIO DE ARTIGAS - JINB(EPCJC 15/07°)LA VELETA DE CABALLITO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200365.html'>DR. ELEODORO LOBOS 437</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200366.html'>0200366</a>,Sup Primaria DE07 - EPA N° 16 ANDRES FERREYRA - EPC N° 16 ANDRES FERREYRA - JII N° 06/07° - CAIYJ CLUB CABALLITO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200366.html'>CNEL. APOLINARIO FIGUEROA 651</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200367.html'>0200367</a>,EPC N° 17 FRANCISCO DE VITORIA - CENS N° 33 LEOPOLDO MARECHAL - JIN A (EPCJC 17/07°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200367.html'>JULIAN ALVAREZ 240</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200368.html'>0200368</a>,JIN C (EPCJS 18/07°) - EPC N° 18 COMODORO CLODOMIRO URTUBEY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200368.html'>ALEJANDRO MAGARIÑOS CERVANTES 1556</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200369.html'>0200369</a>,EPC N° 19 GALICIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200369.html'>LUIS VIALE 1046</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200370.html'>0200370</a>,EPC N° 20 TTE. BENJAMIN MATIENZO - JINB(EPCJS 20/07)VELETA DE CABALLITO [S] - CECIE N° 22,<a href='https://jpcib.github.io/sistemaBochi/pages/0200370.html'>HIDALGO 635</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200371.html'>0200371</a>,JIN D (EPCJS 21/07°) - EPC N° 21 EMILIO RAUL OLIVE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200371.html'>ROJAS 1554</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200372.html'>0200372</a>,JIN A (EPCJS 22/07°) - EPC N° 22 DR. ROMULO S. NAON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200372.html'>ARAOZ 234</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200373.html'>0200373</a>,EPA N° 23 GRAL. BELGRANO - JIN D (EPCJC 23/07°) [S] - EPC N° 23 GRAL. BELGRANO - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 06,<a href='https://jpcib.github.io/sistemaBochi/pages/0200373.html'>PRINGLES 263</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200374.html'>0200374</a>,CENS N° 19 - EPC N° 24 VIRGEN GENERALA - JINB(EPCJC 24/07°)LA VELETA DE CABALLITO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200374.html'>JOSE JUAN BIEDMA 459</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200375.html'>0200375</a>,EPC N° 25 REPUBLICA DE GUATEMALA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200375.html'>MENDEZ DE ANDES 1451</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200376.html'>0200376</a>,ESC. DE COM. N° 16 GABRIELA MISTRAL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200376.html'>JULIAN ALVAREZ 123</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200377.html'>0200377</a>,JIC N° 02/07° PROF. M. MARGARITA RAVIOLI - EPC N° 03 PRIMERA JUNTA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200377.html'>CAMPICHUELO 100</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200378.html'>0200378</a>,JM N° 05/07° JACARANDA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200378.html'>JUAN B. AMBROSETTI 699</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200379.html'>0200379</a>,Sup Inicial III A - JII N° 01/07° ANDRES FERREYRA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200379.html'>AVDA. DIAZ VELEZ 4659</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200380.html'>0200380</a>,ESC. DE COM. N° 23 DR. LUIS AGOTE - EC N° 29 MARINA MERCANTE ARGENTINA - COLEGIO N° 17 PRIMERA JUNTA - CAIYJ CLUB PRIMERA JUNTA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200380.html'>AVDA. RIVADAVIA 5161</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200381.html'>0200381</a>,ESC. TEC. N° 09 ING. LUIS A. HUERGO - CAIYJ CLUB HUERGO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200381.html'>GRAL. MARTIN DE GAINZA 1050</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200382.html'>0200382</a>,IFTS N° 07 - ESC. DE COM. N° 03 HIPOLITO VIEYTES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200382.html'>AVDA. GAONA 1502</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200383.html'>0200383</a>,CENS N° 57 - ESC. SUPERIOR DE ENFERMERÍA DRA. CECILIA GRIERSON SEDE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200383.html'>JUAN B. AMBROSETTI 601</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200385.html'>0200385</a>,EEM N° 03/07°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200385.html'>PADILLA 1051</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200396.html'>0200396</a>,EEM N° 01/07 JULIETA LANTERI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200396.html'>YERBAL 25</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200397.html'>0200397</a>,EPC N° 10 ARQ. MARIO JOSE BUSCHIAZZO - JINB(EPCJS 10/07°)LA VELETA DE CABALLITO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200397.html'>FELIPE VALLESE 975</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200398.html'>0200398</a>,Polideportivo Colegio N° 03 M.Moreno,<a href='https://jpcib.github.io/sistemaBochi/pages/0200398.html'>BACACAY 650</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200400.html'>0200400</a>,EPC N° 01 CHACABUCO - JII N° 01/08° CIUDAD DE BUENOS AIRES - CENS N° 30,<a href='https://jpcib.github.io/sistemaBochi/pages/0200400.html'>AVDA. EVA PERON 1502</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200401.html'>0200401</a>,EPC N° 02 TOMAS SANTA COLOMA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200401.html'>SANTANDER 1150</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200402.html'>0200402</a>,Centro Cultural Sebastián Piana - EPC N° 03 DR. MANUEL A. MONTES DE OCA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200402.html'>PUAN 360</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200403.html'>0200403</a>,CONSERVATORIO SUPERIOR DE MÚSICA MANUEL DE FALLA - ANEXO 1 - EPC N° 04 ORG. DE LOS ESTADOS AMERICANOS - JINE(EPCJC 04/08)TRANVIA DE CABALLITO[S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200403.html'>DEL BARCO CENTENERA 747</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200404.html'>0200404</a>,JIN B (EPCJS 06/08°) [S] - EPC N° 06 SAN JOSE DE CALASANZ - EPA N° 06 SAN JOSE DE CALASANZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200404.html'>AVDA. LA PLATA 1038</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200405.html'>0200405</a>,EPC N° 07 NIÑAS DE AYOHUMA - JIC N° 05/08° MARTHA A. SALOTTI - IFTS N° 27,<a href='https://jpcib.github.io/sistemaBochi/pages/0200405.html'>AVDA. ASAMBLEA 1221</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200406.html'>0200406</a>,JIN B (EPCJS 08/08°) - EPA N° 08 ANTONIO SCHETTINO - EPC N° 08 ANTONIO SCHETTINO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200406.html'>AVDA. JOSE MARIA MORENO 480</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200407.html'>0200407</a>,Sup Primaria DE08 - CENS N° 52 - JIN A (EPCJC 09/08°) - EPC N° 09 FLORENTINO AMEGHINO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200407.html'>AVDA. LA PLATA 623</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200408.html'>0200408</a>,EPC N° 10 JUAN AGUSTIN MAZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200408.html'>CACHIMAYO 1657</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200409.html'>0200409</a>,IFTS N° 13 - EPC N° 11 PRES. MARCELO T. DE ALVEAR - JIN A (EPCJC 11/08°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200409.html'>AVDA. JUAN BAUTISTA ALBERDI 163</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200410.html'>0200410</a>,EPA N° 14 JOAQUIN VICTOR GONZALEZ - EPC N° 14 JOAQUIN VICTOR GONZALEZ - JINE(EPCJS 14/08°) TRANVIA DE CABALLITO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200410.html'>AVDA. PEDRO GOYENA 984</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200411.html'>0200411</a>,JIC N° 03/08° - EPC N° 15 PROVINCIA DE SALTA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200411.html'>SARAZA 1353</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200412.html'>0200412</a>,JIN A (EPCJS 16/08°) - EPC N° 16 JOSE MARIA RAMOS MEJIA - CENOF CENTRO DON BOSCO - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 07,<a href='https://jpcib.github.io/sistemaBochi/pages/0200412.html'>DON BOSCO 4200</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200413.html'>0200413</a>,EPC N° 17 PROF. RAUL L. BERNARDELLI - CENS N° 22,<a href='https://jpcib.github.io/sistemaBochi/pages/0200413.html'>ESTRADA 627</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200414.html'>0200414</a>,EPC N° 20 ELOY FERNANDEZ ALONSO - JIN C (EPCJS 20/08°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200414.html'>MUÑIZ 2147</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200415.html'>0200415</a>,EPC N° 21 JUAN JOSE PASO - JIN C (EPCJS 21/08°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200415.html'>BEAUCHEF 1869</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200416.html'>0200416</a>,EPC N° 22 ANTONIO ABRAHAM ZINNY - CECEP N° 08 - CECIE N° 08,<a href='https://jpcib.github.io/sistemaBochi/pages/0200416.html'>SALAS 565</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200417.html'>0200417</a>,EPC N° 23 CANADA - CENS N° 68,<a href='https://jpcib.github.io/sistemaBochi/pages/0200417.html'>CACHIMAYO 1735</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200418.html'>0200418</a>,EPC N° 24 DR. FLORIAN OLIVER - CENS N° 05 ([A] 2) - JIN C (EPCJC 24/08°) [S] - CAEBYT N° 36 - CAEBYT N° 28 - CENOF CENTRO SARAZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200418.html'>SARAZA 470</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200419.html'>0200419</a>,ESCUELA INF. N° 04/08°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200419.html'>VICTOR MARTINEZ 1780</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200420.html'>0200420</a>,BOA N° 01 ANTONIO BERNI - COLEGIO N° 10 JOSE DE SAN MARTIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200420.html'>QUITO 4045</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200421.html'>0200421</a>,CFP N° 06 CIFP P/ADOLES. (CIFPA),<a href='https://jpcib.github.io/sistemaBochi/pages/0200421.html'>AVDA. ASAMBLEA 153</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200422.html'>0200422</a>,Sup Inicial IV A - JII N° 02/08° JORGE EDUARDO COLL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200422.html'>HIPOLITO YRIGOYEN 4238</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200423.html'>0200423</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 08 LUIS VERNET,<a href='https://jpcib.github.io/sistemaBochi/pages/0200423.html'>HORTIGUERA 742</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200425.html'>0200425</a>,LICEO N° 12 FRAY MAMERTO ESQUIU,<a href='https://jpcib.github.io/sistemaBochi/pages/0200425.html'>AVDA. JOSE MARIA MORENO 345</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200426.html'>0200426</a>,ESPACIO PRIMERA INFANCIA ESC. DE COM. N° 19 - ESC. DE COM. N° 19 JUAN MONTALVO - ESEA DANZA MASTRAZZI DANZA JUV. N°02,<a href='https://jpcib.github.io/sistemaBochi/pages/0200426.html'>FORMOSA 136</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200427.html'>0200427</a>,ENS N°04 ESTANISLAO SEVERO ZEBALLOS - LICEO N° 02 AMANCIO ALCORTA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200427.html'>AVDA. RIVADAVIA 4950</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200428.html'>0200428</a>,ISEF N° 02 PROF. FEDERICO W. DICKENS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200428.html'>AVDA. CURAPALIGÜE 1150</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200429.html'>0200429</a>,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 01 ALFONSINA STORNI",<a href='https://jpcib.github.io/sistemaBochi/pages/0200429.html'>EMILIO MITRE 1087</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200430.html'>0200430</a>,EEE N° 33 SANTA CECILIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200430.html'>SENILLOSA 650</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200431.html'>0200431</a>,"ESC. PARA NIÑOS, NIÑAS Y JÓVENES CON DISCAPACIDAD VISUAL N° 35 JOSÉ MANUEL ESTRADA",<a href='https://jpcib.github.io/sistemaBochi/pages/0200431.html'>AVDA. JUAN BAUTISTA ALBERDI 1083</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200432.html'>0200432</a>,CFP N°11,<a href='https://jpcib.github.io/sistemaBochi/pages/0200432.html'>CARLOS SPEGAZZINI 450</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200440.html'>0200440</a>,JIN C (EPCJC 01/09°) - EPC N° 01 REPUBLICA DE CUBA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200440.html'>COSTA RICA 4942</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200441.html'>0200441</a>,JIC N° 03/09° LEOPOLDO MARECHAL - EPC N° 02 AUSTRALIA - IFTS N° 20,<a href='https://jpcib.github.io/sistemaBochi/pages/0200441.html'>AGUIRRE 752</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200442.html'>0200442</a>,JIN B (EPCJC 03/09°) - EPC N° 03 JUANA MANSO - CECIE N° 09,<a href='https://jpcib.github.io/sistemaBochi/pages/0200442.html'>ZAPATA 449</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200443.html'>0200443</a>,EPC N° 04 PROVINCIA DE CORDOBA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200443.html'>AVDA. RAUL SCALABRINI ORTIZ 1336</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200444.html'>0200444</a>,JII N° 05/09° - EPC N° 05 HON. CONGRESO DE LA NACION - CECEP N° 09 ([A]),<a href='https://jpcib.github.io/sistemaBochi/pages/0200444.html'>AVDA. DEL LIBERTADOR 4777</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200445.html'>0200445</a>,JII N° 06/09° - EPC N° 06 VICENTE FIDEL LOPEZ - EPA N° 06 VICENTE FIDEL LOPEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200445.html'>AVDA. SANTA FE 5039</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200446.html'>0200446</a>,EPC N° 07 MARCOS SASTRE - JIN A (EPCJC 07/09°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200446.html'>VIRREY LORETO 3050</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200447.html'>0200447</a>,JIN A (EPCJC 08/09°) - EPC N° 08 ARMENIO-ARGENTINA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200447.html'>ARCE 611</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200448.html'>0200448</a>,JINB(EPCJC 09/09°)[S]JARD.DE LOS PUENTES - EPC N° 09 JUAN CRISOSTOMO LAFINUR,<a href='https://jpcib.github.io/sistemaBochi/pages/0200448.html'>GORRITI 5740/5744</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200449.html'>0200449</a>,JIN A (EPCJS 10/09°) [S] - EPC N° 10 MANUEL LAINEZ - ESCUELA DE MAESTROS ([A] 11),<a href='https://jpcib.github.io/sistemaBochi/pages/0200449.html'>OLLEROS 2325</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200450.html'>0200450</a>,EPC N° 11 MANUELA PEDRAZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200450.html'>MALABIA 2252</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200451.html'>0200451</a>,EPC N° 12 MARISCAL DEL PERU R.CASTILLA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200451.html'>CONDE 943</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200452.html'>0200452</a>,JIC N° 07/09° EL JARDIN DE LAS GLICINAS - EPC N° 13 RAUL SCALABRINI ORTIZ - CECEP N° 09 (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200452.html'>CONDE 223</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200453.html'>0200453</a>,JIN D (EPCJC 14/09°) [S] - EPC N° 14 PROVINCIA DE RIO NEGRO - CENOF CENTRO AREVALO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200453.html'>AREVALO 1408</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200454.html'>0200454</a>,JIN B (EPCJS 15/09°) - EPC N° 15 CAP. GRAL. BERNARDO O'HIGGINS - EPA N° 15 CAP. GRAL. BERNARDO O'HIGGINS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200454.html'>AVDA. FEDERICO LACROZE 2971</a>
