cui,ano,prestaciones,descripcion_obra
0200874,2021,Carpinterías,Prov. e inst. pasadores puertas emergenc
0200874,2022,Carpinterías,"Provisión y colocación de vidrios por va, Red antipalomas en PB y 1erPiso"
0200874,2022,Incendio,Adecuacion instalacion contra incendio
0200874,2022,Sanitarias,"Prov. coloc. de inodoro vandalizado., Prov. Coloc. de inodoro, vidrios, barral"
0200874,2023,Albañileria / Pintura,2 aulas del futuro - Primer Piso
0202596,2021,Carpinterías,reposición de cerradura completa x vanda
0202596,2022,Carpinterías,"Recambio de pomo por vandalismo, Reposición de vidrio por vandalismo"
0400046,2021,Albañileria / Pintura,Se solicita pintura en pasillo de aulas
0400046,2021,Otros Servicios,4 AULAS SE SECUNDARIA DEL FUTURO
0400046,2021,Sanitarias,Tapas laterales del tanque elevado
0400046,2022,Carpinterías,"Colocacion  alambre concertina en reja., Brazo hidraulico en puerta de acceso"
0400046,2022,Incendio,Reposicion 2 lanzas de 1 3/4
0400046,2022,Otros Servicios,READECUACION CASA CASERO
0400046,2023,Albañileria / Pintura,Realizar 4 aulas del futuro
0400046,2023,Carpinterías,Prov. e instalacion cortinas black out S
0400046,2023,Cubiertas / Impermeabilizaciones,Impermeabilizacion de azotea de 4 aulas
0400046,2023,Electricidad,"Ejecucion Espacios Seguros, Reemplazar 7 ventiladores"
0400048,2022,Carpinterías,PROVISION Y COLOCACION DE CARP. EN AULAS
0400048,2022,Otros Servicios,"OBRA CIVIL SDF, Demolición de muros en aulas"
0400048,2023,Electricidad,Adecuación SDF 2023
0400048,2023,Otros Servicios,"Instalación en espacios seguros, Tareas Complementarias Eléctricas"
0400050,2021,Carpinterías,"Prov,coloc paños de ventanales 1º,2ºP, Prov,cambio 10 ventanas PB, Reempazo de carpinterías-Aulas"
0400050,2021,Electricidad,"Instalar purificador y boca de electric, Coloc 9 purificadores en aulas"
0400050,2022,Electricidad,Reemplazo de Ventiladores
0400050,2022,Otros Servicios,Limpiar espacios utilizados para obra
0400050,2023,Carpinterías,Prov y coloc cortinas aulas del futuro
0400058,2021,Gas,Cambio de termotanque normativa Metrogas
0400058,2021,Incendio,Reemplazo de 3 extintores ABC x 5 kg
0400058,2022,Albañileria / Pintura,"Secundaria del futuro, Presupuesto aulas SDF"
0400058,2022,Carpinterías,Provisión e instalación de rejas en dife
0400058,2022,Electricidad,"Cambio de cableado telefonico, Retiro artef iluminacion y colocac LED"
0400058,2022,Incendio,"Cambio de lanzas, Rep. y coloc señaleticas"
0400058,2022,Medios de elevación,Reparacion variador de control  maniobra
0400058,2022,Otros Servicios,Volquete para retiro de materiales
0400058,2023,Carpinterías,"Prov,coloc 3 puertas reja acceso aulas"
0400058,2023,Electricidad,"Realizar circuito independiente de tomas, Colocacion de 11 ventiladores de techo"
0400058,2023,Incendio,Reemplazo de componentes de ascensor
0400058,2023,Sanitarias,Cambio de 3 inodoros
0400064,2021,Albañileria / Pintura,"SDF 4TO AÑO, Refuncionalizacion para comedor, Secundarias del futuro 4to año"
0400064,2022,Albañileria / Pintura,Acondicionamiento de piso aula fonética
0400064,2022,Cubiertas / Impermeabilizaciones,Refuerzo Especial de Control de Plagas -
0400064,2022,Incendio,"Reposición de Accesorios de IFCI Vandali, Prov de Extintores acorde a planos evacu"
0400066,2022,Electricidad,"4 ventiladores de pared de 20"" y 1 techo"
0400066,2022,Gas,"Reemplazo de termotanque casa casera, Adecuación de la Instalación de Gas, Prov. coloc. placas eléctricas calef."
0400066,2022,Sanitarias,Reemp de bomba cloacal-Subsuelo
0400162,2022,Calefaccion y Refrigeracion,REPARACION DE CALDERA
0400162,2022,Electricidad,Instalación de un proyector
0400202,2021,Cubiertas / Impermeabilizaciones,"Cambio de membrana impermeable terrazas, Pintura sobre membrana geotextil"
