cui,ano,prestaciones,descripcion_obra
0200020,2021,Electricidad,"Nuevo pilar por aumento de potencia, Normalización de inst eléc en OfficeDir"
0200020,2021,Medios de elevación,Regularización de normativa de ascensor
0200020,2022,Calefaccion y Refrigeracion,Cambio de quemador caldera
0200020,2022,Carpinterías,cambio de cerraduras
0200020,2023,Electricidad,"Instalación de reflectores, Insalación de seguridad"
0200020,2023,Incendio,reemplazo de  4 matafuegos
0200022,2021,Carpinterías,Reposición picaportes y cerraduras
0200022,2021,Electricidad,Reemplazo de ventiladores en aulas
0200022,2022,Electricidad,Adecuación de la instalación eléctrica
0200022,2022,Incendio,Reposición accesorios IFCI vandalizados
0200022,2023,Electricidad,Instalacion  Espacios Seguros
0200023,2021,Albañileria / Pintura,Se solicita pintura en pasillo de aulas
0200023,2021,Otros Servicios,4 AULAS SE SECUNDARIA DEL FUTURO
0200023,2021,Sanitarias,Tapas laterales del tanque elevado
0200023,2022,Carpinterías,"Colocacion  alambre concertina en reja., Brazo hidraulico en puerta de acceso"
0200023,2022,Incendio,Reposicion 2 lanzas de 1 3/4
0200023,2022,Otros Servicios,READECUACION CASA CASERO
0200023,2023,Albañileria / Pintura,Realizar 4 aulas del futuro
0200023,2023,Calefaccion y Refrigeracion,Provision e instalacion de calderas
0200023,2023,Carpinterías,Prov. e instalacion cortinas black out S
0200023,2023,Cubiertas / Impermeabilizaciones,Impermeabilizacion de azotea de 4 aulas
0200023,2023,Electricidad,"Ejecucion Espacios Seguros, Reemplazar 7 ventiladores"
0200024,2022,Carpinterías,PROVISION Y COLOCACION DE CARP. EN AULAS
0200024,2022,Otros Servicios,"OBRA CIVIL SDF, Demolición de muros en aulas"
0200024,2023,Electricidad,Adecuación SDF 2023
0200024,2023,Otros Servicios,"Instalación en espacios seguros, Tareas Complementarias Eléctricas"
0200025,2021,Carpinterías,"Prov,coloc paños de ventanales 1º,2ºP, Prov,cambio 10 ventanas PB, Reempazo de carpinterías-Aulas"
0200025,2021,Electricidad,"Instalar purificador y boca de electric, Coloc 9 purificadores en aulas"
0200025,2022,Electricidad,Reemplazo de Ventiladores
0200025,2022,Otros Servicios,Limpiar espacios utilizados para obra
0200025,2023,Carpinterías,Prov y coloc cortinas aulas del futuro
0200025,2023,Electricidad,INSTALACION EN ESPACIOS SEGUROS
0200026,2021,Albañileria / Pintura,"Acondicionamiento aula archivo, Remodelación de dos aulas-SDF"
0200026,2021,Calefaccion y Refrigeracion,Instalar 1 purificador en Biología
0200026,2021,Carpinterías,Cambio de puerta cortafuegos S.Maquinas
0200026,2021,Electricidad,"Prov,coloc tarima, inst electrica,pintur, Instalar 7 purificadores"
0200026,2022,Albañileria / Pintura,Adecuación SDF- 2 aulas
0200026,2022,Electricidad,Ejecución de Tomacorrientes de Uso Gener
0200026,2022,Medios de elevación,Puesta en Normativa de Ascensor
0200026,2022,Sanitarias,Recambio de inodoro por rotura
0200026,2023,Electricidad,INSTALACION EN ESPACIOS SEGUROS
0200027,2021,Electricidad,"Prov,inst ventiladores faltantes"
0200027,2022,Calefaccion y Refrigeracion,Provisión de extintores faltantes
0200027,2022,Electricidad,Remplazo de ventiladores
0200027,2022,Gas,Adecuación de instalación de gas-calefac
0200028,2021,Albañileria / Pintura,"Arreglos en Buffet, Aulas del futuro"
0200028,2021,Carpinterías,Readecuación de escalera metálica ext.
0200028,2021,Electricidad,Readecuación de Tablero
0200028,2021,Gas,Prolongación conducto vent campana
0200028,2021,Incendio,Reemplazo de 2 matafuegos 5k abc
0200028,2021,Otros Servicios,Readecuacion de patio sala 2 años
0200028,2022,Albañileria / Pintura,"Realización de espacio digital, Colocación de cerámicas, pint y electric"
0200028,2022,Calefaccion y Refrigeracion,Reparación de caldera
0200028,2022,Carpinterías,Seguridad en espacio tecnológico
0200028,2022,Electricidad,"Reparación de Iluminación de cancha de f, Instalación de termotanque eléctrico, Instalación de luminaria en huerta"
0200028,2023,Calefaccion y Refrigeracion,Cambio de Caldera
0200028,2023,Carpinterías,Protección rejas
0200028,2023,Incendio,Reemplazo de 1 matafuego
0200029,2021,Albañileria / Pintura,demolicion y reconstruccion de cielorras
0200029,2021,Gas,"Puesta a normativa instalacion de gas, Cambio de 7 estufas en aulas, Cambio de termotanque normativa Metrogas"
0200029,2021,Incendio,Reemplazo de 3 extintores ABC x 5 kg
0200029,2021,Sanitarias,Impermeabilizacion de canaletas
